"effect_id","status","location","implemented","notes"
"0","explicit","scripts/battle_moves_impls/battle_moves_impls.gml (default damage path)","yes","Fallback effect (no special behavior) handled by base damage pipeline."
"1","explicit","scripts/battle_moves_impls/battle_moves_impls.gml (default damage path)","yes","Baseline special damage handled via __battle_apply_move_damage with no extra metadata."
"2","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Sleep family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"3","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Poison family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"4","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Drain/heal percentages synthesized from effect_id 4."
"5","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Move meta synthesis injects burn status + chance for effect_id 5."
"6","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Freeze family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"7","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Paralysis family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"8","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Self-Destruct and Explosion now resolve through the move implementation tail and faint the user after the move resolves."
"10","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Mirror Move is implemented directly in the move implementation path by replaying the last valid move that targeted the user."
"11","covered_by_stat_changes",""
"12","covered_by_stat_changes",""
"17","covered_by_stat_changes",""
"18","explicit","datafiles/data/csv/moves.csv; scripts/battle_system/battle_system.gml","yes","Never-miss family already resolves through move accuracy data; blank accuracy falls back to 100 in __battle_move_accuracy."
"19","covered_by_stat_changes",""
"20","covered_by_stat_changes",""
"21","covered_by_stat_changes",""
"24","covered_by_stat_changes",""
"25","covered_by_stat_changes",""
"26","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Haze now clears all active stat stages and side Mist effects through the battle field/meta helper path."
"27","missing",""
"28","missing",""
"29","missing",""
"30","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)"
"31","missing",""
"32","explicit","scripts/battle_actions/battle_actions.gml (explicit damage handling - OHKO)","yes","OHKO routine executed via __battle_apply_move_damage."
"33","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Recover-style healing is driven by move_meta.healing and resolved by the generic meta-effect heal path."
"34","missing",""
"35","missing",""
"36","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_actions/battle_actions.gml","yes","Light Screen now creates a timed side barrier and halves incoming special damage while active."
"37","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Thrash lock enforcement and confusion-after-lock behavior are implemented directly in the move implementation path."
"38","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Rest now heals the user to full, clears major status ailments, and applies self-sleep through the explicit move implementation path."
"39","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","OHKO flag injected via move meta for effect_id 39."
"40","missing",""
"41","missing",""
"42","missing",""
"43","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Trap status + chance synthesized for bind-style moves."
"45","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Two-hit mapping provided by move meta case."
"46","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Jump Kick and High Jump Kick now both apply miss recoil through the explicit move implementation path."
"47","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_field_helpers/battle_field_helpers.gml","yes","Mist now creates a timed side status that blocks incoming stat-lowering effects."
"48","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_impls/battle_impls.gml","yes","Focus Energy now applies a persistent crit-rate boost on the user that is consumed by later damage calculations."
"49","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Recoil percentage seeded from effect_id 49 mapping."
"50","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Disable is handled directly by the move implementation and disable-status helpers."
"51","covered_by_stat_changes",""
"52","covered_by_stat_changes",""
"52","explicit","scripts/status_system/status_system.gml (explicit handling)","yes","Status registry maintains trap tick and cleanup logic for the trap ailment used by effect_id 43 moves."
"54","covered_by_stat_changes",""
"55","covered_by_stat_changes",""
"58","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Transform is implemented directly in the move implementation path."
"59","covered_by_stat_changes",""
"60","covered_by_stat_changes",""
"61","covered_by_stat_changes",""
"62","covered_by_stat_changes",""
"66","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_actions/battle_actions.gml","yes","Reflect now creates a timed side barrier and halves incoming physical damage while active."
"67","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Poison-powder/gas family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"68","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Paralysis powder/wave family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"69","explicit","scripts/battle_actions/battle_actions.gml (explicit damage handling)"
"70","covered_by_stat_changes",""
"71","covered_by_stat_changes",""
"72","covered_by_stat_changes",""
