"effect_id","status","location","implemented","notes"
"0","explicit","scripts/battle_moves_impls/battle_moves_impls.gml (default damage path)","yes","Fallback effect (no special behavior) handled by base damage pipeline."
"1","explicit","scripts/battle_moves_impls/battle_moves_impls.gml (default damage path)","yes","Baseline special damage handled via __battle_apply_move_damage with no extra metadata."
"2","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Sleep family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"3","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Poison family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"4","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Drain/heal percentages synthesized from effect_id 4."
"5","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Move meta synthesis injects burn status + chance for effect_id 5."
"6","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Freeze family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"7","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Paralysis family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"8","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Self-Destruct and Explosion now resolve through the move implementation tail and faint the user after the move resolves."
"9","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/PokemonDataLoaders/PokemonDataLoaders.gml","yes","Focused effect-9-112 smoke validated Dream Eater failing against awake targets, damaging sleeping targets, and draining half damage."
"10","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Mirror Move is implemented directly in the move implementation path by replaying the last valid move that targeted the user."
"11","covered_by_stat_changes",""
"12","covered_by_stat_changes",""
"13","not_in_dataset","","no","No effect_id 13 appears in datafiles/data/csv/moves.csv or move_effect_prose.csv."
"14","covered_by_stat_changes","","yes","Special Attack +1 is covered by generic stat-change data when present."
"15","not_in_dataset","","no","No effect_id 15 appears in datafiles/data/csv/moves.csv or move_effect_prose.csv."
"16","not_in_dataset","","no","No effect_id 16 appears in datafiles/data/csv/moves.csv or move_effect_prose.csv."
"17","covered_by_stat_changes",""
"18","explicit","datafiles/data/csv/moves.csv; scripts/battle_system/battle_system.gml","yes","Never-miss family already resolves through move accuracy data; blank accuracy falls back to 100 in __battle_move_accuracy."
"19","covered_by_stat_changes",""
"20","covered_by_stat_changes",""
"21","covered_by_stat_changes",""
"22","not_in_dataset","","no","No effect_id 22 appears in datafiles/data/csv/moves.csv or move_effect_prose.csv."
"23","not_in_dataset","","no","No effect_id 23 appears in datafiles/data/csv/moves.csv or move_effect_prose.csv."
"24","covered_by_stat_changes",""
"25","covered_by_stat_changes",""
"26","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Haze now clears all active stat stages and side Mist effects through the battle field/meta helper path."
"27","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_actions/battle_actions.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-27-42 smoke validated Bide releasing double stored damage."
"28","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-27-42 smoke validated Thrash-family locked move state for Petal Dance/Outrage semantics."
"29","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-27-42 smoke validated Roar/Whirlwind ending wild battles; trainer force-switch path is wired for trainer battles."
"30","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)"
"31","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-27-42 smoke validated Conversion changing the user to one of its move types."
"32","explicit","scripts/battle_actions/battle_actions.gml (explicit damage handling - OHKO)","yes","OHKO routine executed via __battle_apply_move_damage."
"33","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Recover-style healing is driven by move_meta.healing and resolved by the generic meta-effect heal path."
"34","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml; scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Focused effect-27-42 smoke validated Toxic forcing badly poisoned status through move meta."
"35","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-27-42 smoke validated Pay Day tracking level * 5 scattered money on a successful hit."
"36","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_actions/battle_actions.gml","yes","Light Screen now creates a timed side barrier and halves incoming special damage while active."
"37","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Thrash lock enforcement and confusion-after-lock behavior are implemented directly in the move implementation path."
"38","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Rest now heals the user to full, clears major status ailments, and applies self-sleep through the explicit move implementation path."
"39","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","OHKO flag injected via move meta for effect_id 39."
"40","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-27-42 smoke validated Razor Wind entering the two-turn charge state."
"41","explicit","scripts/battle_actions/battle_actions.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-27-42 smoke validated Super Fang-style half-current-HP damage."
"42","explicit","scripts/battle_actions/battle_actions.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-27-42 smoke validated Dragon Rage exact 40 HP fixed damage."
"43","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Trap status + chance synthesized for bind-style moves."
"44","explicit","scripts/battle_impls/battle_impls.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-9-112 smoke validated high critical-hit ratio moves using the boosted crit stage."
"45","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Two-hit mapping provided by move meta case."
"46","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Jump Kick and High Jump Kick now both apply miss recoil through the explicit move implementation path."
"47","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_field_helpers/battle_field_helpers.gml","yes","Mist now creates a timed side status that blocks incoming stat-lowering effects."
"48","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_impls/battle_impls.gml","yes","Focus Energy now applies a persistent crit-rate boost on the user that is consumed by later damage calculations."
"49","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Recoil percentage seeded from effect_id 49 mapping."
"50","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Disable is handled directly by the move implementation and disable-status helpers."
"51","covered_by_stat_changes",""
"52","covered_by_stat_changes",""
"52","explicit","scripts/status_system/status_system.gml (explicit handling)","yes","Status registry maintains trap tick and cleanup logic for the trap ailment used by effect_id 43 moves."
"53","covered_by_stat_changes","","yes","Speed +2 is covered by generic stat-change data when present."
"54","covered_by_stat_changes",""
"55","covered_by_stat_changes",""
"58","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Transform is implemented directly in the move implementation path."
"59","covered_by_stat_changes",""
"60","covered_by_stat_changes",""
"61","covered_by_stat_changes",""
"62","covered_by_stat_changes",""
"63","covered_by_stat_changes","","yes","Special Defense -2 is covered by generic stat-change data when present."
"66","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_actions/battle_actions.gml","yes","Reflect now creates a timed side barrier and halves incoming physical damage while active."
"67","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Poison-powder/gas family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"68","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Paralysis powder/wave family is driven by move_meta ailment data and applied through the generic ailment pipeline."
"69","explicit","scripts/battle_actions/battle_actions.gml (explicit damage handling)"
"70","covered_by_stat_changes",""
"71","covered_by_stat_changes",""
"72","covered_by_stat_changes",""
"73","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Special defense drop chance produced in move meta heuristics."
"74","explicit","datafiles/data/csv/move_meta_stat_changes.csv; scripts/PokemonDataLoaders/PokemonDataLoaders.gml","yes","Accuracy drop stat_changes loaded from CSV and applied via battle_system generic stat-change handler."
"75","missing",""
"76","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/PokemonDataLoaders/PokemonDataLoaders.gml","yes","Focused effect-76-94 smoke validated Sky Attack charge handling and flinch metadata."
"77","explicit","datafiles/data/csv/move_meta.csv; scripts/battle_impls/battle_impls.gml","yes","Confusion ailment delivered through move_meta (ailment_id=6) pipeline and status_system apply."
"78","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Double-hit meta mapping present for effect_id 78."
"79","explicit","datafiles/data/csv/moves.csv; scripts/battle_system/battle_system.gml","yes","Never-miss family resolves through move accuracy data; blank accuracy falls back to 100 in __battle_move_accuracy."
"80","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_actions/battle_actions.gml; scripts/status_system/status_system.gml","yes","Substitute now creates a decoy status with stored HP and direct move damage is absorbed by the decoy before the user takes real HP damage."
"81","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-9-112 smoke validated Hyper Beam-style recharge moves forcing the next action to recharge."
"82","explicit","scripts/battle_actions/battle_actions.gml (explicit damage handling)"
"83","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-76-94 smoke validated Mimic replaying the target's last valid move."
"84","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Metronome is implemented directly in the move implementation path and rerolls into a non-meta move from the global move list."
"85","explicit","datafiles/data/csv/move_meta.csv; scripts/PokemonDataLoaders/PokemonDataLoaders.gml; scripts/status_system/status_system.gml","yes","Leech Seed is driven by move-meta ailment mapping into the generic status pipeline, with end-of-turn drain/heal handling in the status system and Grass-type immunity enforced on apply."
"86","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-76-94 smoke validated Splash as an explicit no-op."
"87","explicit","scripts/battle_impls/battle_impls.gml; scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-76-94 smoke validated Disable targeting the opponent's previous move instead of Disable itself."
"88","explicit","scripts/battle_actions/battle_actions.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-76-94 smoke validated Seismic Toss/Night Shade level-based fixed damage."
"89","explicit","scripts/battle_actions/battle_actions.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-76-94 smoke validated Psywave fixed damage in the 50%-150% level-scaled range."
"90","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-76-94 smoke validated Counter reflecting last physical damage at double damage."
"91","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-76-94 smoke validated Encore storing the target's last move with a turn duration."
"92","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-76-94 smoke validated Pain Split averaging user and target current HP."
"93","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Focused effect-76-94 smoke validated Snore failing while awake, working while asleep, and applying flinch meta."
"94","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-76-94 smoke validated Conversion 2 changing to a resistant/immune-style type from the last received move."
"95","explicit","scripts/battle_impls/battle_impls.gml; scripts/battle_system/battle_system.gml","yes","No Guard / Lock-On / Mind Reader accuracy bypass helpers route through __battle_should_ignore_accuracy and semi-invuln overrides."
"96","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Sketch permanently replaces the selected move slot with the target's last valid move through the explicit move implementation path."
"98","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-9-112 smoke validated Sleep Talk failing while awake and selecting another known move while asleep."
"99","missing","datafiles/data/csv/moves.csv","no","Destiny Bond is present in moves.csv but does not yet have explicit faint-link handling."
"100","explicit","scripts/battle_system/battle_system.gml","yes","Focused effect-9-112 smoke validated Flail/Reversal low-HP variable power scaling."
"101","explicit","scripts/battle_actions/battle_actions.gml (explicit damage handling)"
"102","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Mimic copies the target's last valid move through the explicit move implementation path."
"103","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/status_system/status_system.gml; scripts/party_model/party_model.gml","yes","Heal Bell and Aromatherapy now clear major status ailments plus confusion across the user's active side and owned party reserve through the explicit move implementation path."
"104","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Quick-attack-style visual/priority effect handling is routed explicitly in the move meta helper."
"105","missing",""
"106","missing",""
"107","missing",""
"108","missing",""
"109","covered_by_stat_changes",""
"110","missing",""
"112","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-9-112 smoke validated Protect blocking incoming direct damage."
